               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.016989,           0.0080367,           0.0030646,             0.95356,              0.9627,             0.98075,             0.77527,            0.012088,           0.0078162,          0.00020303,            0.004852,            0.004852,            0.004852
                  54,            0.016959,           0.0079288,           0.0031773,             0.95371,             0.96264,             0.98094,             0.77549,            0.012074,            0.007808,          0.00020082,            0.004753,            0.004753,            0.004753
                  55,            0.016504,           0.0078685,           0.0027635,             0.95415,             0.96257,             0.98088,             0.77516,            0.012052,           0.0078001,          0.00019911,            0.004654,            0.004654,            0.004654
                  56,            0.016692,           0.0078334,            0.002925,             0.95401,             0.96269,             0.98111,             0.77538,            0.012043,           0.0077943,          0.00019719,            0.004555,            0.004555,            0.004555
                  57,            0.016466,           0.0078454,           0.0028399,             0.95488,             0.96172,             0.98131,             0.77623,            0.012031,           0.0077881,          0.00019456,            0.004456,            0.004456,            0.004456
                  58,              0.0165,           0.0078293,           0.0029241,             0.95613,             0.96167,             0.98126,              0.7764,            0.012006,           0.0077781,          0.00019215,            0.004357,            0.004357,            0.004357
                  59,            0.016283,           0.0077183,           0.0028329,             0.95665,             0.96076,             0.98147,             0.77781,            0.011994,           0.0077687,          0.00019033,            0.004258,            0.004258,            0.004258
                  60,            0.016415,           0.0077157,           0.0027646,             0.95701,              0.9605,             0.98158,             0.77783,            0.011984,           0.0077584,          0.00018918,            0.004159,            0.004159,            0.004159
                  61,            0.016296,           0.0076284,           0.0026651,             0.95686,             0.96146,             0.98158,              0.7787,            0.011965,           0.0077487,          0.00018798,             0.00406,             0.00406,             0.00406
                  62,            0.016154,           0.0076207,           0.0028156,             0.95729,             0.96024,             0.98133,             0.77891,            0.011952,           0.0077367,          0.00018632,            0.003961,            0.003961,            0.003961
                  63,            0.016005,           0.0075381,           0.0026163,             0.95647,             0.96137,              0.9816,             0.77938,             0.01194,           0.0077322,          0.00018532,            0.003862,            0.003862,            0.003862
                  64,            0.015688,           0.0074548,           0.0024674,             0.95484,              0.9638,             0.98175,             0.77953,             0.01192,           0.0077246,          0.00018375,            0.003763,            0.003763,            0.003763
                  65,            0.015714,           0.0074384,           0.0024642,             0.95704,             0.96126,             0.98193,             0.77949,            0.011905,           0.0077187,          0.00018174,            0.003664,            0.003664,            0.003664
                  66,            0.015425,           0.0073712,           0.0024235,             0.95724,             0.96119,             0.98213,             0.77983,            0.011898,            0.007712,          0.00017952,            0.003565,            0.003565,            0.003565
                  67,            0.015408,           0.0073233,           0.0024674,             0.95741,             0.96021,             0.98239,             0.78033,            0.011894,           0.0077027,           0.0001777,            0.003466,            0.003466,            0.003466
                  68,            0.015417,           0.0073336,           0.0024199,              0.9579,              0.9606,              0.9823,             0.78031,            0.011881,           0.0076959,          0.00017567,            0.003367,            0.003367,            0.003367
                  69,            0.015257,            0.007242,             0.00231,             0.95823,             0.96003,             0.98244,             0.78061,            0.011863,           0.0076916,           0.0001744,            0.003268,            0.003268,            0.003268
                  70,            0.015272,           0.0071583,           0.0022847,             0.95836,                0.96,             0.98244,             0.78077,            0.011854,           0.0076895,          0.00017321,            0.003169,            0.003169,            0.003169
                  71,            0.015048,           0.0071779,            0.002289,             0.95863,             0.96008,              0.9825,             0.78118,            0.011844,            0.007687,          0.00017152,             0.00307,             0.00307,             0.00307
                  72,            0.014919,           0.0070625,           0.0022425,             0.95809,             0.95998,             0.98221,             0.78161,            0.011832,           0.0076815,          0.00016973,            0.002971,            0.002971,            0.002971
                  73,            0.014704,           0.0070597,           0.0022291,             0.95822,                0.96,             0.98233,             0.78174,             0.01182,           0.0076739,          0.00016822,            0.002872,            0.002872,            0.002872
                  74,            0.014723,           0.0069964,           0.0020281,             0.95855,             0.95954,             0.98223,             0.78207,            0.011801,           0.0076656,          0.00016687,            0.002773,            0.002773,            0.002773
                  75,            0.014526,           0.0069272,           0.0020718,             0.95947,             0.95891,             0.98237,             0.78204,            0.011784,           0.0076558,          0.00016483,            0.002674,            0.002674,            0.002674
                  76,            0.014418,            0.006841,           0.0020979,             0.95931,             0.95926,             0.98191,             0.78254,            0.011775,           0.0076494,          0.00016328,            0.002575,            0.002575,            0.002575
                  77,            0.014174,           0.0068313,            0.002149,             0.96077,             0.95881,             0.98177,             0.78232,            0.011766,           0.0076414,          0.00016164,            0.002476,            0.002476,            0.002476
                  78,            0.014027,           0.0066863,            0.001962,              0.9612,               0.959,             0.98189,             0.78326,            0.011754,           0.0076337,          0.00016006,            0.002377,            0.002377,            0.002377
                  79,            0.013812,           0.0066896,           0.0019143,             0.96229,             0.95965,             0.98206,             0.78374,            0.011739,           0.0076255,          0.00015792,            0.002278,            0.002278,            0.002278
                  80,            0.013682,           0.0065908,           0.0017238,             0.96199,             0.95982,             0.98198,             0.78436,            0.011708,           0.0076161,          0.00015588,            0.002179,            0.002179,            0.002179
                  81,            0.013479,           0.0065179,           0.0018197,             0.96235,             0.95997,             0.98229,             0.78503,            0.011683,           0.0076076,          0.00015335,             0.00208,             0.00208,             0.00208
                  82,            0.013614,           0.0064887,           0.0017292,             0.96255,             0.96021,             0.98211,             0.78536,            0.011664,           0.0076003,          0.00015097,            0.001981,            0.001981,            0.001981
                  83,            0.013347,           0.0064528,           0.0017023,             0.96301,             0.96005,             0.98219,             0.78566,            0.011641,           0.0075919,          0.00014874,            0.001882,            0.001882,            0.001882
                  84,            0.013138,           0.0063551,           0.0015656,              0.9629,             0.96042,             0.98217,             0.78576,            0.011624,           0.0075852,          0.00014649,            0.001783,            0.001783,            0.001783
                  85,             0.01292,           0.0062475,           0.0015244,             0.96051,             0.96297,             0.98226,             0.78624,            0.011607,            0.007583,          0.00014395,            0.001684,            0.001684,            0.001684
                  86,            0.012823,           0.0062557,           0.0016256,             0.96339,             0.96025,             0.98213,             0.78653,            0.011592,           0.0075821,          0.00014134,            0.001585,            0.001585,            0.001585
                  87,            0.012653,           0.0061126,           0.0015556,             0.96078,             0.96302,             0.98228,             0.78716,             0.01157,           0.0075769,           0.0001382,            0.001486,            0.001486,            0.001486
                  88,            0.012412,           0.0060939,           0.0014121,             0.96491,             0.96037,             0.98242,             0.78677,            0.011557,           0.0075744,          0.00013494,            0.001387,            0.001387,            0.001387
                  89,            0.012389,            0.006064,           0.0013734,             0.96543,             0.95953,             0.98253,             0.78795,            0.011545,           0.0075712,          0.00013152,            0.001288,            0.001288,            0.001288
                  90,            0.012077,           0.0059509,           0.0014203,             0.96552,             0.96009,             0.98265,             0.78831,            0.011541,           0.0075681,          0.00012852,            0.001189,            0.001189,            0.001189
                  91,            0.011914,           0.0058802,            0.001368,             0.96586,             0.96009,             0.98274,             0.78918,            0.011536,           0.0075644,          0.00012557,             0.00109,             0.00109,             0.00109
                  92,            0.011642,           0.0058194,           0.0013059,             0.96092,             0.96348,             0.98274,             0.78961,            0.011532,           0.0075622,          0.00012231,            0.000991,            0.000991,            0.000991
                  93,            0.011497,             0.00575,           0.0012339,             0.96137,             0.96384,             0.98278,             0.78982,             0.01153,           0.0075619,          0.00011895,            0.000892,            0.000892,            0.000892
                  94,            0.011327,           0.0056456,           0.0012247,               0.962,             0.96415,             0.98299,             0.79036,            0.011526,           0.0075628,          0.00011492,            0.000793,            0.000793,            0.000793
                  95,            0.011156,           0.0056255,           0.0011491,             0.96201,             0.96473,             0.98307,             0.79037,            0.011516,           0.0075642,          0.00011084,            0.000694,            0.000694,            0.000694
                  96,            0.010958,            0.005534,           0.0011601,             0.96314,             0.96518,              0.9833,             0.79112,            0.011507,           0.0075652,          0.00010669,            0.000595,            0.000595,            0.000595
                  97,            0.010692,            0.005434,            0.001036,             0.96361,             0.96457,             0.98339,             0.79113,              0.0115,           0.0075663,          0.00010227,            0.000496,            0.000496,            0.000496
                  98,              0.0105,           0.0054112,          0.00096353,             0.96269,             0.96561,             0.98342,             0.79186,            0.011497,           0.0075693,          9.7316e-05,            0.000397,            0.000397,            0.000397
                  99,            0.010393,           0.0053568,          0.00097325,              0.9621,             0.96583,             0.98335,             0.79218,            0.011496,           0.0075718,          9.2329e-05,            0.000298,            0.000298,            0.000298
